id,sourcePath,examTypes,questionType,difficulty,kpGroup,archetypeId,taskFlavor,qualityScore,reasons,recommendedAction
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b155-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b155-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b187-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b187-gesp-5-hard-v01__question-bundle__single-choice__ds__n3__v01.json#0,papers/2026/2026-05-01-bulk1000-b187-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b187-gesp-5-hard-v01__question-bundle__single-choice__ds__n3__v01.json,GESP-5,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b187-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b187-gesp-5-hard-v01__question-bundle__single-choice__ds__n3__v01.json#1,papers/2026/2026-05-01-bulk1000-b187-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b187-gesp-5-hard-v01__question-bundle__single-choice__ds__n3__v01.json,GESP-5,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b187-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b187-gesp-5-hard-v01__question-bundle__single-choice__ds__n3__v01.json#2,papers/2026/2026-05-01-bulk1000-b187-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b187-gesp-5-hard-v01__question-bundle__single-choice__ds__n3__v01.json,GESP-5,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-03-manual-gesp7-gap-b02-b0040-gesp-7-hard-v01/question-bundles/2026-05-03-manual-gesp7-gap-b02-b0040-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-03-manual-gesp7-gap-b02-b0040-gesp-7-hard-v01/question-bundles/2026-05-03-manual-gesp7-gap-b02-b0040-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-03-manual-gesp7-gap-b02-b0055-gesp-7-hard-v01/question-bundles/2026-05-03-manual-gesp7-gap-b02-b0055-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#4,papers/2026/2026-05-03-manual-gesp7-gap-b02-b0055-gesp-7-hard-v01/question-bundles/2026-05-03-manual-gesp7-gap-b02-b0055-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-a01-b0065-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-a01-b0065-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-a01-b0065-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-a01-b0065-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
papers/2026/2026-05-01-bulk1000-a01-b0085-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-a01-b0085-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-a01-b0085-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-a01-b0085-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
papers/2026/2026-05-01-bulk1000-a01-b0161-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-a01-b0161-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-a01-b0161-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-a01-b0161-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-a02-b0110-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-a02-b0110-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-a02-b0110-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-a02-b0110-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
papers/2026/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
papers/2026/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-a03-b0191-gesp-7-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-7,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
papers/2026/2026-05-01-bulk1000-b038-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b038-gesp-7-hard-v01__question-bundle__single-choice__alg__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b038-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b038-gesp-7-hard-v01__question-bundle__single-choice__alg__n5__v01.json,GESP-7,single_choice,hard,ALG,inferred-binary_search_boundary,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
